Date,Sky
2015-11-1,rainy
2015-11-2,cloudy
2015-11-3,sunny
2015-11-4,sunny
2015-11-5,cloudy
2015-11-6,cloudy
2015-11-7,cloudy
2015-11-8,cloudy
2015-11-9,partly-cloudy
2015-11-10,rainy
2015-11-11,stormy
2015-11-12,rainy
2015-11-13,cloudy
2015-11-14,cloudy
2015-11-15,cloudy
2015-11-16,partly-cloudy
2015-11-17,partly-cloudy
2015-11-18,partly-cloudy
2015-11-19,cloudy
2015-11-20,cloudy
2015-11-21,rainy
2015-11-22,rainy
2015-11-23,partly-cloudy
2015-11-24,partly-cloudy
2015-11-25,cloudy
2015-11-26,rainy
2015-11-27,rainy
2015-11-28,cloudy
2015-11-29,cloudy
2015-11-30,cloudy
2015-12-1,rainy
2015-12-2,rainy
2015-12-3,cloudy
2015-12-4,partly-cloudy
2015-12-5,sunny
2015-12-6,sunny
2015-12-7,sunny
2015-12-8,cloudy
2015-12-9,cloudy
2015-12-10,cloudy
2015-12-11,cloudy
2015-12-12,cloudy
2015-12-13,cloudy
2015-12-14,rainy
2015-12-15,rainy
2015-12-16,cloudy
2015-12-17,rainy
2015-12-18,rainy
2015-12-19,partly-cloudy
2015-12-20,partly-cloudy
2015-12-21,cloudy
2015-12-22,rainy
2015-12-23,rainy
2015-12-24,cloudy
2015-12-25,cloudy
2015-12-26,cloudy
2015-12-27,cloudy
2015-12-28,cloudy
2015-12-29,snowy
2015-12-30,cloudy
2015-12-31,rainy
2016-1-1,cloudy
2016-1-2,cloudy
2016-1-3,cloudy
2016-1-4,snowy
2016-1-5,sunny
2016-1-6,cloudy
2016-1-7,cloudy
2016-1-8,cloudy
2016-1-9,cloudy
2016-1-10,stormy
2016-1-11,cloudy
2016-1-12,snowy
2016-1-13,snowy
2016-1-14,snowy
2016-1-15,rainy
2016-1-16,rainy
2016-1-17,snowy
2016-1-18,snowy
2016-1-19,cloudy
2016-1-20,cloudy
2016-1-21,sunny
2016-1-22,cloudy
2016-1-23,snowy
2016-1-24,cloudy
2016-1-25,cloudy
2016-1-26,rainy
2016-1-27,rainy
2016-1-28,cloudy
2016-1-29,cloudy
2016-1-30,cloudy
2016-1-31,cloudy
2016-2-1,cloudy
2016-2-2,sunny
2016-2-3,rainy
2016-2-4,rainy
2016-2-5,snowy
2016-2-6,cloudy
2016-2-7,cloudy
2016-2-8,snowy
2016-2-9,snowy
2016-2-10,snowy
2016-2-11,snowy
2016-2-12,cloudy
2016-2-13,snowy
2016-2-14,sunny
2016-2-15,snowy
2016-2-16,rainy
2016-2-17,cloudy
2016-2-18,cloudy
2016-2-19,snowy
2016-2-20,rainy
2016-2-21,cloudy
2016-2-22,rainy
2016-2-23,snowy
2016-2-24,rainy
2016-2-25,stormy
2016-2-26,rainy
2016-2-27,cloudy
2016-2-28,cloudy
2016-2-29,cloudy
2016-3-1,cloudy
2016-3-2,rainy
2016-3-3,cloudy
2016-3-4,snowy
2016-3-5,snowy
2016-3-6,cloudy
2016-3-7,cloudy
2016-3-8,cloudy
2016-3-9,cloudy
2016-3-10,rainy
Typical Monday,sunny
Typical Tuesday,sunny
Typical Wednesday,sunny
Typical Thursday,sunny
Typical Friday,sunny
Typical Saturday,sunny
Typical Sunday,sunny
Typical Class Day,sunny
Typical Non-Class Day,sunny
Typical Sunny Day,sunny
Typical Cloudy Day,cloudy
Typical Rainy Day,rainy
Typical Stormy Day,stormy
Typical Partly Cloudy Day,partly-cloudy
Typical Snowy Day,snowy
